round_idx,kind,cycles
1433,invalid,59815
1434,invalid,59486
1435,invalid,59782
1436,valid,59767
1437,valid,60423
1438,valid,59803
1439,valid,59744
1440,valid,60119
1441,invalid,59721
1442,valid,59759
1443,valid,59769
1444,invalid,59837
1445,invalid,60020
1446,invalid,59458
1447,invalid,60529
1448,invalid,59736
1449,valid,59777
1450,invalid,60431
1451,valid,59780
1452,invalid,59581
1453,invalid,59974
1454,valid,59773
1455,invalid,59742
1456,invalid,59882
1457,valid,60179
1458,valid,59749
1459,invalid,59760
1460,valid,60442
1461,valid,59787
1462,invalid,59782
1463,valid,59755
1464,valid,59785
1465,invalid,59747
1466,invalid,59520
1467,valid,60467
1468,invalid,59743
1469,invalid,59798
1470,valid,61560
1471,valid,59750
1472,invalid,59774
1473,invalid,59784
1474,invalid,59788
1475,invalid,59762
1476,valid,59796
1477,invalid,59757
1478,valid,60690
1479,invalid,59802
1480,valid,62845
1481,invalid,59989
1482,invalid,59518
1483,valid,59818
1484,invalid,59710
1485,invalid,59776
1486,valid,60480
1487,invalid,59769
1488,valid,59775
1489,valid,59799
1490,invalid,59749
1491,valid,59896
1492,valid,59802
1493,valid,59996
1494,invalid,60095
1495,valid,59981
1496,invalid,60677
1497,valid,59793
1498,invalid,60920
1499,invalid,59743
1500,valid,59775
1501,valid,60454
1502,invalid,59786
1503,invalid,59580
1504,valid,59766
1505,invalid,59765
1506,invalid,59769
1507,valid,59708
1508,invalid,60286
1509,invalid,59724
1510,invalid,59739
1511,invalid,60324
1512,valid,59788
1513,invalid,59768
1514,invalid,59801
1515,valid,59805
1516,invalid,59785
1517,invalid,59847
1518,valid,59984
1519,valid,59833
1520,invalid,59692
1521,valid,59800
1522,valid,59763
1523,valid,59751
1524,valid,59795
1525,invalid,60025
1526,invalid,59655
1527,valid,59564
1528,invalid,60705
1529,invalid,59777
1530,invalid,59785
1531,invalid,60416
1532,valid,59849
1533,invalid,59717
1534,valid,60026
1535,invalid,59769
1536,valid,59766
1537,valid,59911
1538,valid,59706
1539,invalid,59796
1540,valid,59774
1541,invalid,60464
1542,valid,59782
1543,invalid,59750
1544,invalid,59771
1545,invalid,59810
1546,invalid,59479
1547,valid,59775
1548,invalid,59976
1549,invalid,59799
1550,valid,59688
1551,invalid,59516
1552,invalid,59801
1553,invalid,59764
1554,invalid,61515
1555,valid,60834
1556,valid,59726
1557,invalid,59746
1558,valid,59718
1559,invalid,59736
1560,invalid,59802
1561,invalid,60176
1562,valid,60583
1563,invalid,59776
1564,valid,59760
1565,valid,60667
1566,invalid,59735
1567,valid,59740
1568,valid,59810
1569,invalid,59690
1570,valid,59832
