idx,kind,cycles
1108,valid,64258
1109,invalid,64245
1110,valid,64218
1111,invalid,64223
1112,valid,64209
1113,invalid,65430
1114,valid,64297
1115,invalid,64291
1116,valid,64246
1117,invalid,64226
1118,valid,64234
1119,invalid,64221
1120,valid,65611
1121,invalid,64272
1122,valid,65267
1123,invalid,64176
1124,valid,64189
1125,invalid,64395
1126,valid,64907
1127,invalid,64214
1128,valid,64265
1129,invalid,64227
1130,valid,64234
1131,invalid,64229
1132,valid,65033
1133,invalid,64190
1134,valid,64284
1135,invalid,64170
1136,valid,64526
1137,invalid,64214
1138,valid,64210
1139,invalid,64295
1140,valid,64186
1141,invalid,64262
1142,valid,65727
1143,invalid,64276
1144,valid,64461
1145,invalid,64186
1146,valid,64190
1147,invalid,64306
1148,valid,64247
1149,invalid,64256
1150,valid,64268
1151,invalid,64722
1152,valid,64303
1153,invalid,64319
1154,valid,64275
1155,invalid,64787
1156,valid,64407
1157,invalid,64261
1158,valid,64200
1159,invalid,64255
1160,valid,64210
1161,invalid,64271
1162,valid,64248
1163,invalid,64265
1164,valid,64286
1165,invalid,64227
1166,valid,64223
1167,invalid,64240
1168,valid,64393
1169,invalid,64275
1170,valid,64201
1171,invalid,64194
1172,valid,64223
1173,invalid,65452
1174,valid,64234
1175,invalid,64230
1176,valid,64160
1177,invalid,64252
1178,valid,64212
1179,invalid,64198
1180,valid,64183
1181,invalid,64255
1182,valid,64299
1183,invalid,64256
1184,valid,64215
1185,invalid,64213
1186,valid,64197
1187,invalid,64201
1188,valid,64229
1189,invalid,64274
1190,valid,64186
1191,invalid,64248
1192,valid,64539
1193,invalid,64228
1194,valid,64732
1195,invalid,64314
1196,valid,64275
1197,invalid,65094
1198,valid,64258
1199,invalid,65388
1200,valid,64389
1201,invalid,64183
1202,valid,64238
1203,invalid,64204
1204,valid,64208
1205,invalid,64228
1206,valid,64315
1207,invalid,64238
1208,valid,64217
1209,invalid,64222
1210,valid,64779
1211,invalid,64204
1212,valid,64265
1213,invalid,64215
1214,valid,64230
1215,invalid,64224
1216,valid,64156
1217,invalid,64175
1218,valid,64227
1219,invalid,64192
1220,valid,64224
1221,invalid,64266
1222,valid,64184
1223,invalid,64193
1224,valid,64163
1225,invalid,64256
1226,valid,64179
1227,invalid,64196
1228,valid,64859
1229,invalid,64223
1230,valid,64200
1231,invalid,64273
1232,valid,64171
1233,invalid,64325
1234,valid,64203
1235,invalid,64322
1236,valid,64436
1237,invalid,64261
1238,valid,65632
1239,invalid,64213
1240,valid,64152
1241,invalid,64217
1242,valid,64235
1243,invalid,64266
1244,valid,64236
1245,invalid,64226
1246,valid,64238
1247,invalid,64150
1248,valid,64236
1249,invalid,64285
1250,valid,64258
1251,invalid,64257
1252,valid,64218
1253,invalid,64609
1254,valid,64308
1255,invalid,64195
1256,valid,64239
1257,invalid,64189
1258,valid,64233
1259,invalid,64157
1260,valid,64662
1261,invalid,64508
1262,valid,64176
1263,invalid,64185
1264,valid,64221
1265,invalid,64207
1266,valid,64253
1267,invalid,64245
1268,valid,64179
1269,invalid,64146
1270,valid,64463
1271,invalid,64183
1272,valid,64202
1273,invalid,64304
1274,valid,64202
1275,invalid,64480
1276,valid,64162
1277,invalid,64215
1278,valid,64242
1279,invalid,65845
1280,valid,64237
1281,invalid,64814
1282,valid,64310
1283,invalid,64201
1284,valid,64235
1285,invalid,64214
1286,valid,64248
1287,invalid,64253
1288,valid,64239
1289,invalid,64254
1290,valid,64265
1291,invalid,64307
1292,valid,64232
1293,invalid,64194
1294,valid,64239
1295,invalid,64298
1296,valid,64208
1297,invalid,64277
1298,valid,64199
1299,invalid,64239
1300,valid,64205
1301,invalid,64268
1302,valid,64246
1303,invalid,64335
1304,valid,64211
1305,invalid,64281
1306,valid,64193
1307,invalid,64282
1308,valid,64189
1309,invalid,64307
1310,valid,64252
1311,invalid,64233
1312,valid,64165
1313,invalid,64214
1314,valid,64238
1315,invalid,64237
1316,valid,64224
1317,invalid,64238
1318,valid,64208
1319,invalid,64252
1320,valid,64270
1321,invalid,64430
1322,valid,64247
1323,invalid,64652
1324,valid,64842
1325,invalid,64267
1326,valid,64223
1327,invalid,64221
1328,valid,64145
1329,invalid,64217
1330,valid,64252
1331,invalid,64343
1332,valid,64213
1333,invalid,64171
1334,valid,64289
1335,invalid,64342
1336,valid,64181
1337,invalid,64554
1338,valid,64409
1339,invalid,64201
1340,valid,64293
1341,invalid,64228
1342,valid,64223
1343,invalid,64226
1344,valid,64245
1345,invalid,64190
1346,valid,64242
1347,invalid,64244
1348,valid,64561
1349,invalid,64216
1350,valid,64227
1351,invalid,64206
1352,valid,64286
1353,invalid,64222
1354,valid,64221
1355,invalid,64259
1356,valid,64299
1357,invalid,64188
1358,valid,64539
1359,invalid,64201
1360,valid,64228
1361,invalid,64354
1362,valid,64275
1363,invalid,64295
1364,valid,64262
1365,invalid,64244
1366,valid,65625
1367,invalid,65915
1368,valid,65568
1369,invalid,64218
1370,valid,64243
1371,invalid,64233
1372,valid,64237
1373,invalid,64255
1374,valid,64898
1375,invalid,64160
1376,valid,64246
1377,invalid,64208
1378,valid,64292
1379,invalid,64453
1380,valid,64254
1381,invalid,64222
1382,valid,65932
1383,invalid,64267
1384,valid,64263
1385,invalid,64226
1386,valid,64227
1387,invalid,64203
1388,valid,64220
1389,invalid,64233
1390,valid,64213
1391,invalid,64251
1392,valid,64190
1393,invalid,64207
1394,valid,64247
1395,invalid,64211
1396,valid,64230
1397,invalid,64249
1398,valid,64243
1399,invalid,64198
1400,valid,64184
1401,invalid,64224
1402,valid,64570
1403,invalid,64255
1404,valid,64232
1405,invalid,64175
1406,valid,65912
1407,invalid,64550
1408,valid,64265
1409,invalid,66159
1410,valid,64247
1411,invalid,64927
1412,valid,64254
1413,invalid,64446
1414,valid,65636
1415,invalid,64228
1416,valid,64419
1417,invalid,64685
1418,valid,64557
1419,invalid,64228
1420,valid,64216
1421,invalid,64212
1422,valid,64273
1423,invalid,64230
1424,valid,64270
1425,invalid,64198
1426,valid,65011
1427,invalid,65211
1428,valid,64792
1429,invalid,64182
1430,valid,64242
1431,invalid,64171
1432,valid,64288
1433,invalid,64234
